service_id,date,exception_type
39,20260110,1
43,20260112,1
43,20260113,1
43,20260114,1
43,20260115,1
45,20260116,1
39,20260117,1
43,20260119,1
43,20260120,1
43,20260121,1
43,20260122,1
45,20260123,1
39,20260124,1
43,20260126,1
43,20260127,1
43,20260128,1
43,20260129,1
45,20260130,1
39,20260131,1
43,20260202,1
43,20260203,1
43,20260204,1
43,20260205,1
45,20260206,1
39,20260207,1
43,20260209,1
43,20260210,1
43,20260211,1
43,20260212,1
45,20260213,1
39,20260214,1
43,20260216,1
43,20260217,1
43,20260218,1
43,20260219,1
45,20260220,1
39,20260221,1
43,20260223,1
43,20260224,1
43,20260225,1
43,20260226,1
45,20260227,1
39,20260228,1
43,20260302,1
43,20260303,1
43,20260304,1
43,20260305,1
45,20260306,1
39,20260307,1
43,20260309,1
43,20260310,1
43,20260311,1
43,20260312,1
45,20260313,1
39,20260314,1
43,20260316,1
43,20260317,1
43,20260318,1
43,20260319,1
45,20260320,1
39,20260321,1
43,20260323,1
43,20260324,1
43,20260325,1
43,20260326,1
45,20260327,1
39,20260328,1
43,20260330,1
43,20260331,1
43,20260401,1
43,20260402,1
45,20260403,1
39,20260404,1
43,20260406,1
43,20260407,1
43,20260408,1
43,20260409,1
45,20260410,1
39,20260411,1
43,20260413,1
43,20260414,1
43,20260415,1
43,20260416,1
45,20260417,1
39,20260418,1
43,20260420,1
43,20260421,1
43,20260422,1
43,20260423,1
45,20260424,1
39,20260425,1
43,20260427,1
43,20260428,1
43,20260429,1
43,20260430,1
45,20260501,1
39,20260502,1
43,20260504,1
43,20260505,1
43,20260506,1
43,20260507,1
45,20260508,1
39,20260509,1
43,20260511,1
43,20260512,1
43,20260513,1
43,20260514,1
45,20260515,1
39,20260516,1
43,20260518,1
43,20260519,1
43,20260520,1
43,20260521,1
45,20260522,1
39,20260523,1
43,20260525,1
43,20260526,1
43,20260527,1
43,20260528,1
45,20260529,1
39,20260530,1
43,20260601,1
43,20260602,1
43,20260603,1
43,20260604,1
45,20260605,1
39,20260606,1
