stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
100,100,"Yorktown Center",,42.1020889282,-80.135429,,,0,,0
101,101,"W 12th St at Selinger Ave",,42.1025314331,-80.138481,,,0,,0
1016,1016,"W 12th St at Powell Ave",,42.0919075012,-80.167282,,,0,,0
102,102,"W 12th St at Lowell Ave",,42.1015739441,-80.141052,,,0,,0
1024,1024,"W Lake Rd at Westwood Dr",,42.0773391724,-80.19677,,,0,,0
1026,1026,"W Lake Rd at Garloch Dr",,42.0765113831,-80.203178,,,0,,0
103,103,"W 12th St at Filmore Ave",,42.1009368896,-80.142784,,,0,,0
1032,1032,"W 12th St at Grant Ave",,42.0888175964,-80.175606,,,0,,0
1033,1033,"W 12th St at Ford Ave",,42.0880088806,-80.177773,,,0,,0
1034,1034,"W 12th St at Guetner Ave",,42.0865287781,-80.180222,,,0,,0
104,104,"W 12th St at Hilborn Ave",,42.1005020142,-80.143951,,,0,,0
105,105,"Peninsula at W 15th St",,42.0972671509,-80.144112,,,0,,0
1051,1051,"W 12th St at Shenk Ave",,42.0881309509,-80.176765,,,0,,0
1052,1052,"W 12th St at Hartt Rd",,42.0892906189,-80.173599,,,0,,0
1053,1053,"W 12th St at Ardmore Ave",,42.0903244019,-80.170799,,,0,,0
1054,1054,"W 12th St at Chelsea Ave",,42.0910453796,-80.168907,,,0,,0
1055,1055,"W 12th St at Powell Ave",,42.0915870667,-80.16745,,,0,,0
1056,1056,"W 12th St at Linden Ave",,42.0934066772,-80.162483,,,0,,0
1057,1057,"W 12th St at Marshall Dr",,42.0948066711,-80.158714,,,0,,0
1058,1058,"W 12th St at Idaho Ave",,42.0955314636,-80.156784,,,0,,0
1059,1059,"W 12th St at Harper Rd",,42.0980873108,-80.149879,,,0,,0
106,106,"Peninsula at W 17th Sreet",,42.095916748,-80.143196,,,0,,0
1062,1062,"W 6th St at Colorado Dr",,42.1114196777,-80.133766,,,0,,0
1063,1063,"W 6th St at Beverly Dr",,42.1122512817,-80.131538,,,0,,0
1064,1064,"W 6th St at Maryland Ave",,42.1131324768,-80.129311,,,0,,0
1065,1065,"W 6th St at Delaware Ave",,42.1138687134,-80.127335,,,0,,0
1066,1066,"W 6th St at Kahkwa Blvd",,42.1145935059,-80.125427,,,0,,0
1067,1067,"W 6th St at Lincoln Ave",,42.1153869629,-80.123314,,,0,,0
1068,1068,"W 6th St at Mohawk Dr",,42.1158180237,-80.122185,,,0,,0
1069,1069,"W 6th St at Seminole Dr",,42.1162376404,-80.121025,,,0,,0
107,107,"Peninsula opp Country Fair",,42.0904388428,-80.139526,,,0,,0
1070,1070,"Frontier Park (Bus Shelter)",,42.1186027527,-80.118286,,,0,,0
1071,1071,"W 6th St at Washington Pl",,42.1193695068,-80.113319,,,0,,0
1072,1072,"W 6th St at Cranberry St",,42.1199302673,-80.110939,,,0,,0
1073,1073,"W 6th St at Raspberry St",,42.1208229065,-80.108429,,,0,,0
1074,1074,"W 6th St at Cascade St",,42.1217193604,-80.106071,,,0,,0
1075,1075,"W 6th St at Plum St",,42.1225776672,-80.103638,,,0,,0
1076,1076,"Liberty St at N Park Ave (Bus Shelter)",,42.1235656738,-80.10231,,,0,,0
1077,1077,"Liberty ST at W 5th St",,42.1241836548,-80.10276,,,0,,0
1085,1085,"W 4th St at Peach St",,42.130821228,-80.08799,,,0,,0
1087,1087,"Erie Intl Airport",,42.0837211609,-80.181236,,,0,,0
1088,1088,"Greene Twp Bldg",,42.0631523132,-79.978065,,,0,,0
1089,1089,"Giant Eagle",,42.0632591248,-80.101921,,,0,,0
109,109,"Legion Rd at K-Mart (Bus Shelter)",,42.08751297,-80.135628,,,0,,0
1090,1090,"OLIVER RD. & HAMOT",,42.0300483704,-80.094154,,,0,,0
110,110,"Legion Rd at W 30th St",,42.0858650208,-80.134499,,,0,,0
111,111,"Legion Rd at W 32 St",,42.0839424133,-80.133255,,,0,,0
112,112,"W 32nd St at Hampshire Rd",,42.0825424194,-80.136826,,,0,,0
113,113,"W 32nd St at Amherst Rd",,42.0821342468,-80.137894,,,0,,0
1131,1131,"Caughey Rd at W 38th St",,42.073135376,-80.147438,,,0,,0
1132,1132,"W 38th St at Falmouth Rd",,42.0739402771,-80.142944,,,0,,0
1133,1133,"W 38th St at Winchester Rd",,42.07472229,-80.14077,,,0,,0
1134,1134,"W 38th St at Lancaster Rd",,42.0755157471,-80.13858,,,0,,0
1135,1135,"W 38th St at Canterbury Dr",,42.0765533447,-80.135757,,,0,,0
1136,1136,"38TH & AMHURST",,42.077167511,-80.134003,,,0,,0
1137,1137,"W 38th St at Calico Dr",,42.0786933899,-80.129906,,,0,,0
1138,1138,"W 38th St at Zuck Rd",,42.0803604126,-80.125198,,,0,,0
1139,1139,"Agility",,42.082244873,-80.117516,,,0,,0
114,114,"W 32nd St at Greeley Ave",,42.0817337036,-80.138977,,,0,,0
1140,1140,"W 38th St at Pittsburgh Ave",,42.0836257935,-80.116508,,,0,,0
1141,1141,"E 38th St at Schaper Ave",,42.0846977234,-80.113647,,,0,,0
1142,1142,"W 38th St at Garden Ave (Bus Shelter)",,42.0860939026,-80.109856,,,0,,0
1143,1143,"W 38th St at Allegheny Rd",,42.0879364014,-80.104988,,,0,,0
1144,1144,"Greengarden Blvd at W 38th St (Bus Shelt",,42.0895423889,-80.101791,,,0,,0
1145,1145,"Greengarden Blvd at W 34th St",,42.0926246643,-80.103821,,,0,,0
1146,1146,"Greengarden Blvd at W 32nd St",,42.0942344666,-80.104897,,,0,,0
1147,1147,"W 32nd St at Washington Ave",,42.0955963135,-80.101357,,,0,,0
1148,1148,"W 32nd St at Melrose Ave",,42.0963630676,-80.099228,,,0,,0
1149,1149,"Elmwood Ave at W 32nd St",,42.0975494385,-80.097031,,,0,,0
115,115,"W 32nd St at Sterrettania Rd",,42.0809783936,-80.141075,,,0,,0
1150,1150,"Elmwood Ave at W 29th St",,42.0996665955,-80.098457,,,0,,0
1151,1151,"W 29th St at Raspberry St",,42.1009101868,-80.095146,,,0,,0
1152,1152,"W 29th St at Cascade St",,42.1017684937,-80.092796,,,0,,0
1153,1153,"W 29th St at Liberty St",,42.1031455994,-80.089066,,,0,,0
1154,1154,"W 29th St at Hazel St",,42.1039199829,-80.086967,,,0,,0
1155,1155,"W 29th St at Cherry St",,42.1045341492,-80.085297,,,0,,0
1156,1156,"W 29th St at Walnut St",,42.1054344177,-80.082924,,,0,,0
1157,1157,"W 29th St at Chestnut St",,42.1063117981,-80.080551,,,0,,0
1158,1158,"W 29th St at Myrtle St",,42.1071777344,-80.078163,,,0,,0
1159,1159,"Myrtle St at W 26th St",,42.1096191406,-80.079605,,,0,,0
116,116,"Sterrettania Rd at Greely Ave",,42.0831832886,-80.140121,,,0,,0
