route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,39,t267-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t28A-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t2D5-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t320-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t343-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t396-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9371_shp,0,0
1,39,t3B9-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t40C-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t457-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t482-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t4CD-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9385_shp,0,0
1,39,t520-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t543-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t596-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t5E1-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t60C-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t657-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9385_shp,0,0
1,39,t6AA-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t6CD-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t720-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t743-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t796-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
1,39,t7E1-b2BF-sl27,"GLENWOOD - M. MALL/SUMMITT",0,703,9457_shp,0,0
1,39,t804-b2BF-sl27,"GLENWOOD TO 7TH & FRENCH",1,703,9231_shp,0,0
105,43,t1B3-b17D9-sl2B,"CORRY LOOP",1,6105,9368_shp,0,0
105,43,t258-b17D9-sl2B,"CORRY LOOP",1,6105,9447_shp,0,0
105,43,t285-b17D9-sl2B,"CORRY LOOP",1,6105,9447_shp,0,0
105,43,t2DA-b17D9-sl2B,"CORRY LOOP",1,6105,9447_shp,0,0
105,43,t2E4-b183D-sl2B,"CORRY LOOP",1,6205,9441_shp,0,0
105,43,t32F-b17D9-sl2B,"CORRY LOOP",1,6105,9367_shp,0,0
